"","Player","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1","Tom Brady","1_NE_QB","4_NE_QB","4_NE_QB","3_NE_QB","3_NE_QB","2_NE_QB","1_NE_QB","1_NE_QB","6_NE_QB","14_NE_QB","7_TB_QB"
"2","Peyton Manning","2_IND_QB","50_IND_QB","2_DEN_QB","1_DEN_QB","5_DEN_QB",NA,NA,NA,NA,NA,NA
"3","Adrian Peterson","3_MIN_RB","8_MIN_RB","1_MIN_RB","4_MIN_RB","62_MIN_RB","5_MIN_RB","98_MIN_RB",NA,NA,NA,NA
"4","Ray Lewis","4_BAL_LB","20_BAL_LB",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Ed Reed","5_BAL_S","16_BAL_S","18_BAL_S",NA,NA,NA,NA,NA,NA,NA,NA
"6","Troy Polamalu","6_PIT_S","19_PIT_S","91_PIT_S","61_PIT_S",NA,NA,NA,NA,NA,NA,NA
"7","Andre Johnson","7_HOU_WR","15_HOU_WR","14_HOU_WR","21_HOU_WR",NA,NA,NA,NA,NA,NA,NA
"8","Darrelle Revis","8_NYJ_CB","5_NYJ_CB","67_NYJ_CB","37_TB_CB","17_NE_CB","24_NYJ_CB",NA,NA,NA,NA,NA
"9","Drew Brees","9_NOR_QB","2_NOR_QB","11_NOR_QB","6_NOR_QB","30_NOR_QB","30_NOR_QB","16_NOR_QB","8_NOR_QB","2_NOR_QB","12_NOR_QB",NA
"10","Julius Peppers","10_CHI_DE","26_CHI_DE","54_CHI_DE",NA,"71_GB_LB",NA,NA,NA,NA,NA,NA
"11","Aaron Rodgers","11_GB_QB","1_GB_QB","6_GB_QB","11_GB_QB","2_GB_QB","6_GB_QB","6_GB_QB","10_GB_QB","8_GB_QB","16_GB_QB","3_GB_QB"
"12","DeMarcus Ware","12_DAL_LB","6_DAL_LB","12_DAL_LB","56_DAL_LB","87_DEN_LB","36_DEN_LB",NA,NA,NA,NA,NA
"13","Chris Johnson","13_TEN_RB","100_TEN_RB","62_TEN_RB",NA,NA,NA,NA,NA,NA,NA,NA
"14","Larry Fitzgerald","14_ARI_WR","7_ARI_WR","22_ARI_WR","38_ARI_WR","68_ARI_WR","27_ARI_WR","45_ARI_WR","27_ARI_WR","60_ARI_WR","69_ARI_WR",NA
"15","Dwight Freeney","15_IND_DE","89_IND_DE","80_IND_DE",NA,NA,NA,NA,NA,NA,NA,NA
"16","Charles Woodson","16_GB_CB","36_GB_CB","85_GB_CB",NA,"64_LV_S",NA,NA,NA,NA,NA,NA
"17","Haloti Ngata","17_BAL_DT","9_BAL_DT","42_BAL_DT","45_BAL_DT","82_BAL_DT",NA,NA,NA,NA,NA,NA
"18","Nnamdi Asomugha","18_LV_CB","79_PHI_CB",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Clay Matthews","19_GB_LB","27_GB_LB","31_GB_LB","77_GB_LB","51_GB_LB","57_GB_LB","82_GB_LB",NA,NA,NA,NA
