Year,Player,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV
2010,Julius Peppers,2,1,0,1,9,3,0,0,0,0,8.0,54,43,11,11,18,0,18
2010,Dwight Freeney,0,0,0,0,2,5,0,0,0,0,10.0,25,21,4,8,19,0,9
2010,Robert Mathis,0,0,0,0,1,1,0,1,1,0,11.0,60,44,16,10,19,0,10
2010,Justin Tuck,0,0,0,0,4,5,0,5,4,0,11.5,76,48,28,16,22,0,15
2010,Cameron Wake,0,0,0,0,4,3,0,0,0,0,14.0,57,48,9,21,26,0,13
2010,Tamba Hali,0,0,0,0,3,4,0,2,2,0,14.5,52,37,15,12,27,0,9
2010,John Abraham,1,6,0,6,4,1,0,0,0,0,13.0,41,36,5,18,17,0,16
2010,Mario Williams,0,0,0,0,2,1,0,0,0,0,8.5,28,22,6,9,19,0,5
2010,Trent Cole,0,0,0,0,2,1,0,0,0,0,10.0,65,50,15,16,19,0,7
2010,Jared Allen,2,40,1,36,6,1,0,1,0,0,11.0,60,45,15,14,25,0,10
2010,Jason Babin,0,0,0,0,0,2,0,0,0,0,12.5,58,44,14,16,27,0,10
2011,Jared Allen,1,14,0,14,3,4,0,4,6,0,22.0,66,48,18,21,32,1,14
2011,Justin Smith,0,0,0,0,2,3,0,1,0,0,7.5,58,45,13,6,20,0,19
2011,Jason Pierre-Paul,0,0,0,0,7,2,0,0,0,0,16.5,86,66,20,23,28,1,14
2011,Julius Peppers,0,0,0,0,4,4,0,2,0,0,11.0,37,33,4,15,13,0,12
2011,Tamba Hali,0,0,0,0,0,4,0,0,0,0,12.0,66,48,18,12,27,0,11
2011,Jason Babin,0,0,0,0,1,3,0,0,0,0,18.0,40,35,5,17,29,0,13
2011,Trent Cole,0,0,0,0,1,1,0,0,0,0,11.0,44,41,3,14,17,0,7
2011,Justin Tuck,0,0,0,0,3,1,0,0,0,0,5.0,37,27,10,6,11,0,5
2011,Elvis Dumervil,0,0,0,0,1,0,0,1,0,0,9.5,42,31,11,10,19,0,9
2011,Chris Long,0,0,0,0,2,1,0,0,0,0,13.0,37,31,6,15,21,0,7
2011,Dwight Freeney,0,0,0,0,0,2,0,0,0,0,8.5,19,13,6,7,19,0,8
2012,J. J. Watt,0,0,0,0,16,4,0,2,7,0,20.5,81,69,12,39,43,0,19
