,Year,Player,Rush,Rush Yds,Rush TD,Rush 1D,Rush Lng,Rush Y/A,Rush Y/G,A/G,Tgt,Rec,Rec Yds,Rec Y/R,Rec TD,Rec 1D,Rec Lng,R/G,Rec Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV
0,2010,Adrian Peterson,283,1298,12,71,80,4.6,86.5,18.9,50,36,341,9.5,1,17,34,2.4,22.7,0.72,6.8,319,5.1,1639,13,1,11
1,2010,Chris Johnson,316,1364,11,57,76,4.3,85.3,19.8,57,44,245,5.6,1,9,25,2.8,15.3,0.771929825,4.3,360,4.5,1609,12,3,13
2,2010,Arian Foster,327,1616,16,90,74,4.9,101,20.4,84,66,604,9.2,2,34,50,4.1,37.8,0.785714286,7.2,393,5.6,2220,18,3,20
3,2010,Maurice Jones-Drew,299,1324,5,74,37,4.4,94.6,21.4,44,34,317,9.3,2,13,75,2.4,22.6,0.772727273,7.2,333,4.9,1641,7,2,14
4,2010,Jamaal Charles,230,1467,5,70,80,6.4,91.7,14.4,64,45,468,10.4,3,22,31,2.8,29.3,0.703125,7.3,275,7,1935,8,3,17
5,2010,Steven Jackson,330,1241,6,60,42,3.8,77.6,20.6,62,46,383,8.3,0,14,49,2.9,23.9,0.741935484,6.2,376,4.3,1624,6,1,10
6,2010,Michael Turner,334,1371,12,75,55,4.1,85.7,20.9,20,12,85,7.1,0,2,19,0.8,5.3,0.6,4.3,346,4.2,1456,12,2,13
7,2010,Ray Rice,307,1220,5,53,50,4,76.3,19.2,83,63,556,8.8,1,23,34,3.9,34.8,0.759036145,6.7,370,4.8,1776,6,0,13
8,2010,Frank Gore,203,853,3,42,64,4.2,77.5,18.5,72,46,452,9.8,2,15,41,4.2,41.1,0.638888889,6.3,249,5.2,1305,5,4,8
9,2010,Darren McFadden,223,1157,7,46,57,5.2,89,17.2,61,47,507,10.8,3,22,67,3.6,39,0.770491803,8.3,270,6.2,1664,10,4,13
10,2011,Adrian Peterson,208,970,12,48,54,4.7,80.8,17.3,24,18,139,7.7,1,5,22,1.5,11.6,0.75,5.8,226,4.9,1109,13,1,8
11,2011,Maurice Jones-Drew,343,1606,8,76,56,4.7,100.4,21.4,64,43,374,8.7,3,18,48,2.7,23.4,0.671875,5.8,386,5.1,1980,11,6,14
12,2011,LeSean McCoy,273,1309,17,85,60,4.8,87.3,18.2,69,48,315,6.6,3,18,26,3.2,21,0.695652174,4.6,321,5.1,1624,20,1,10
13,2011,Ray Rice,291,1364,12,54,70,4.7,85.3,18.2,104,76,704,9.3,3,30,52,4.8,44,0.730769231,6.8,367,5.6,2068,15,2,16
14,2011,Arian Foster,278,1224,10,58,43,4.4,94.2,21.4,72,53,617,11.6,2,19,78,4.1,47.5,0.736111111,8.6,331,5.6,1841,12,5,13
15,2011,Frank Gore,282,1211,8,55,55,4.3,75.7,17.6,31,17,114,6.7,0,4,13,1.1,7.1,0.548387097,3.7,299,4.4,1325,8,2,10
16,2011,Matt Forte,203,997,3,41,46,4.9,83.1,16.9,76,52,490,9.4,1,20,56,4.3,40.8,0.684210526,6.4,255,5.8,1487,4,2,11
17,2011,Steven Jackson,260,1145,5,51,47,4.4,76.3,17.3,58,42,333,7.9,1,17,50,2.8,22.2,0.724137931,5.7,302,4.9,1478,6,2,6
18,2011,Darren McFadden,113,614,4,24,70,5.4,87.7,16.1,23,19,154,8.1,1,7,26,2.7,22,0.826086957,6.7,132,5.8,768,5,1,5
19,2011,Fred Jackson,170,934,6,38,80,5.5,93.4,17,50,39,442,11.3,0,15,49,3.9,44.2,0.78,8.8,209,6.6,1376,6,2,9
20,2011,Darren Sproles,87,603,2,27,36,6.9,37.7,5.4,111,86,710,8.3,7,35,39,5.4,44.4,0.774774775,6.4,173,7.6,1313,9,0,12
21,2011,Michael Turner,301,1340,11,63,81,4.5,83.8,18.8,26,17,168,9.9,0,8,32,1.1,10.5,0.653846154,6.5,318,4.7,1508,11,3,11
22,2011,Marshawn Lynch,285,1204,12,65,47,4.2,80.3,19,41,28,212,7.6,1,8,26,1.9,14.1,0.682926829,5.2,313,4.5,1416,13,3,9
23,2011,Willis McGahee,249,1199,4,53,60,4.8,79.9,16.6,20,12,51,4.3,1,3,12,0.8,3.4,0.6,2.6,261,4.8,1250,5,4,7
24,2011,Chris Johnson,262,1047,4,47,48,4,65.4,16.4,79,57,418,7.3,0,14,34,3.6,26.1,0.721518987,5.3,319,4.6,1465,4,3,9
25,2012,Adrian Peterson,348,2097,12,88,82,6,131.1,21.8,51,40,217,5.4,1,11,20,2.5,13.6,0.784313725,4.3,388,6,2314,13,4,19
