,Year,Player,Tgt,Rec,Rec Yds,Rec Y/R,Rec TD,Rec 1D,Rec Lng,R/G,Rec Y/G,Ctch%,Y/Tgt,Rush,Rush Yds,Rush TD,Rush 1D,Rush Lng,Rush Y/A,Rush Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV
0,2010,Antonio Gates,65,50,782,15.6,10,42,48,5,78.2,0.769230769,12,0,0,0,0,0,0,0,0,50,15.6,782,10,0,8
1,2010,Jason Witten,128,94,1002,10.7,9,42,33,5.9,62.6,0.734375,7.8,0,0,0,0,0,0,0,0,94,10.7,1002,9,1,9
2,2010,Tony Gonzalez,108,70,656,9.4,6,40,34,4.4,41,0.648148148,6.1,0,0,0,0,0,0,0,0,70,9.4,656,6,0,8
3,2010,Dallas Clark,53,37,347,9.4,3,21,50,6.2,57.8,0.698113208,6.5,0,0,0,0,0,0,0,0,37,9.4,347,3,0,3
4,2010,Vernon Davis,93,56,914,16.3,7,35,66,3.5,57.1,0.602150538,9.8,0,0,0,0,0,0,0,0,56,16.3,914,7,0,7
5,2011,Jimmy Graham,149,99,1310,13.2,11,74,59,6.2,81.9,0.66442953,8.8,0,0,0,0,0,0,0,0,99,13.2,1310,11,1,13
6,2011,Rob Gronkowski,124,90,1327,14.7,17,69,52,5.6,82.9,0.725806452,10.7,1,2,1,1,2,2,0.1,0.1,91,14.6,1329,18,0,14
7,2011,Vernon Davis,95,67,792,11.8,6,33,44,4.2,49.5,0.705263158,8.3,2,-5,0,0,-2,-2.5,-0.3,0.1,69,11.4,787,6,3,8
8,2011,Tony Gonzalez,116,80,875,10.9,7,53,30,5,54.7,0.689655172,7.5,0,0,0,0,0,0,0,0,80,10.9,875,7,0,8
9,2011,Jason Witten,117,79,942,11.9,5,47,64,4.9,58.9,0.675213675,8.1,0,0,0,0,0,0,0,0,79,11.9,942,5,1,8
10,2012,Rob Gronkowski,79,55,790,14.4,11,45,41,5,71.8,0.696202532,10,0,0,0,0,0,0,0,0,55,14.4,790,11,1,9
11,2012,Vernon Davis,61,41,548,13.4,5,26,53,2.6,34.3,0.672131148,9,0,0,0,0,0,0,0,0,41,13.4,548,5,0,5
12,2012,Jason Witten,147,110,1039,9.4,3,56,36,6.9,64.9,0.74829932,7.1,0,0,0,0,0,0,0,0,110,9.4,1039,3,0,8
13,2012,Tony Gonzalez,124,93,930,10,8,65,25,5.8,58.1,0.75,7.5,0,0,0,0,0,0,0,0,93,10,930,8,0,10
14,2012,Antonio Gates,80,49,538,11,7,30,34,3.3,35.9,0.6125,6.7,0,0,0,0,0,0,0,0,49,11,538,7,0,4
15,2012,Aaron Hernandez,83,51,483,9.5,5,27,31,5.1,48.3,0.614457831,5.8,1,5,0,1,5,5,0.5,0.1,52,9.4,488,5,0,5
